Code_INSEE,latitude,longitude,pop,code_dep
81064,43.98678057,1.783100292,1046,81
76287,49.56249359,1.011775679,1046,76
85072,46.85239802,-1.343497469,1046,85
57047,49.10102139,6.596859448,1045,57
73096,45.53130342,6.093026386,1045,73
2287,49.77407801,3.272144593,1045,2
59263,50.31850896,3.099374962,1045,59
74141,45.90539692,5.978474509,1045,74
79210,46.87858758,-0.65164349,1044,79
51453,48.9985904,4.322853382,1044,51
1170,46.18967335,5.551397814,1044,1
25186,47.3277457,5.940014906,1044,25
30014,43.99969306,4.363863393,1044,30
67040,48.28703165,7.614485497,1044,67
42197,45.7435936,4.051182837,1044,42
74292,45.92557889,5.998942179,1044,74
44019,47.30490351,-1.912669517,1044,44
23002,46.21098876,1.995962311,1043,23
37043,47.48872868,1.06027362,1043,37
27678,48.9558529,1.065946604,1043,27
38478,45.07260551,5.830025645,1043,38
2495,49.96374413,4.051281135,1043,2
72119,48.10917228,0.045002697,1043,72
66096,42.77046593,2.651566044,1043,66
69108,46.17303739,4.725755486,1043,69
43021,45.14278907,3.950886377,1043,43
74184,46.05516456,5.990890244,1043,74
33541,45.39885184,-1.07454436,1043,33
84068,43.77803338,5.366161741,1042,84
59474,50.077911,3.759223958,1042,59
41249,47.45718293,2.170853023,1042,41
68204,47.99789205,7.025280639,1042,68
61462,48.71587369,-0.034614673,1042,61
68250,47.93781147,7.229028457,1042,68
22035,48.42557793,-1.977883042,1042,22
8139,49.87506471,4.693669481,1042,8
69218,46.11192039,4.676037778,1042,69
35307,48.28095443,-1.982936756,1042,35
72215,48.38756241,0.245183265,1042,72
81168,44.14681189,2.170745352,1041,81
9124,43.17969078,1.415063573,1041,9
62870,50.40822827,1.730117854,1041,62
77291,49.01614201,2.596068937,1041,77
59054,50.77495104,2.441605005,1041,59
57571,49.03269116,6.931718985,1040,57
15037,45.36330814,2.403073991,1040,15
71398,46.74541614,4.990902685,1040,71
66056,42.65985152,2.682478421,1040,66
88484,48.10155542,6.344035295,1040,88
46095,44.51411846,1.37059321,1040,46
91463,48.381935,2.456868762,1040,91
74077,46.07472389,5.89580535,1040,74
81078,43.68016449,1.984871011,1040,81
43230,45.15216791,3.898443739,1040,43
35237,47.72761637,-1.966110354,1040,35
21554,47.10170536,5.266534803,1039,21
67103,48.81414248,7.377632155,1039,67
37271,47.2202767,0.496409535,1039,37
72110,47.73619961,-0.154731681,1039,72
64007,43.15392246,-0.629327959,1039,64
34164,43.74786253,3.960199729,1039,34
3060,46.15988152,3.393346707,1039,3
36109,46.55669038,1.958957798,1038,36
57658,48.96167398,7.319924103,1038,57
27497,49.35793224,0.724785098,1038,27
34035,43.65439843,3.644288639,1038,34
95594,49.12302093,2.394795512,1038,95
62552,50.39994017,1.934892883,1038,62
60601,49.27678775,2.39991209,1037,60
76750,49.45696292,0.827427548,1037,76
90087,47.67911032,6.910089181,1037,90
73164,45.70934478,5.990485083,1037,73
56018,47.5234827,-2.479729894,1037,56
66179,42.3968213,2.621299869,1036,66
10382,48.41409449,3.456560112,1036,10
38101,45.42596952,4.84291284,1036,38
76240,49.70516441,0.36787293,1036,76
82110,44.1424578,1.411368859,1036,82
53158,48.00818887,-0.941581146,1036,53
38009,45.34858835,4.882751763,1036,38
3283,46.53110204,3.578237607,1035,3
27102,49.36105445,0.770400983,1035,27
60130,49.37915434,2.518006772,1035,60
30328,43.90374744,4.626078957,1035,30
23036,46.25575637,1.760289955,1035,23
51153,49.01761,4.004140159,1035,51
50110,49.19211456,-0.938538623,1035,50
3157,46.21729069,3.510603673,1035,3
80661,49.97399495,2.361894175,1035,80
69077,46.15376385,4.773197046,1035,69
97215,14.85509402,-61.15159028,1034,972
63225,45.61226996,2.533971784,1034,63
38109,45.69953738,5.209451218,1034,38
26353,44.66480523,4.803437471,1034,26
72377,47.7570761,-0.104784379,1034,72
50032,49.10632715,-1.018182308,1034,50
35249,47.73381018,-1.805214006,1034,35
81294,43.84331189,1.935291907,1034,81
57452,49.16170419,6.192062569,1034,57
42180,45.58848942,4.149155584,1033,42
61344,48.64366757,-0.217658804,1033,61
1096,46.19915138,5.056406926,1033,1
49257,47.65176413,-0.216889906,1033,49
78381,48.78391195,1.616440191,1033,78
62905,50.75266052,2.160247302,1033,62
8448,49.89950689,4.80748274,1032,8
50594,49.58330922,-1.738311085,1032,50
82049,44.10253534,0.814008819,1032,82
84143,43.98512377,5.165068656,1032,84
40210,44.07214066,-1.025987118,1032,40
7134,44.50330572,4.288304922,1032,7
77077,48.99853556,2.894221619,1032,77
54080,48.59718742,5.827098699,1031,54
8282,49.88214195,4.432627368,1031,8
36165,46.68408195,1.046528713,1031,36
57235,49.28998557,6.482669571,1031,57
33296,44.83329024,-0.021783646,1031,33
41248,48.04470921,0.846594759,1031,41
51613,49.1640933,4.143050053,1031,51
24521,45.23986393,0.866391236,1031,24
33543,44.59215029,-0.248104423,1031,33
7084,45.16065332,4.748884855,1031,7
38042,45.39351941,5.392599171,1031,38
26031,44.55763986,4.866912775,1031,26
25110,46.91716038,6.25633928,1031,25
34181,43.53934239,3.333544094,1030,34
35280,48.33830007,-1.366607332,1030,35
10018,48.09231816,3.923461883,1030,10
3063,46.44158747,3.973298626,1030,3
37219,47.37241739,0.589386626,1029,37
12200,44.21087242,3.127585752,1029,12
30355,44.07565125,4.616758191,1029,30
22005,48.53102852,-3.381888596,1029,22
79172,46.52075043,-0.323592605,1029,79
57593,49.20015854,6.051860007,1029,57
87117,45.808256,1.782486883,1029,87
76514,49.35445516,1.189634357,1029,76
25505,47.47958352,6.348006878,1028,25
51367,48.93925143,4.019687833,1028,51
16340,45.64468455,-0.14291234,1028,16
51472,48.82721578,4.61145384,1028,51
12177,44.40094377,2.842253294,1028,12
22241,48.10610774,-2.591555626,1028,22
42219,45.73992803,4.097176567,1028,42
60685,49.36895088,2.209252159,1028,60
40212,43.56432052,-1.146908766,1028,40
50077,49.65003234,-1.508274502,1027,50
14347,49.02119407,-0.745768584,1027,14
61369,48.64485851,-0.622820263,1027,61
62331,50.28471987,2.849259841,1027,62
29269,47.95683494,-3.620029777,1027,29
24436,45.04400191,0.253242647,1027,24
38231,45.51553273,5.198566706,1027,38
18082,46.96936849,3.038032522,1026,18
8116,49.51175382,4.769866008,1026,8
40152,43.96300855,-1.076880981,1026,40
51449,49.21410613,4.174830637,1026,51
27350,48.82499443,1.259587906,1026,27
35110,48.32812175,-1.625970378,1026,35
74126,46.27086345,6.423544705,1026,74
26377,44.33561761,5.0506164,1025,26
14396,49.1315977,-0.422983284,1025,14
60586,49.39577998,2.059379019,1025,60
64328,43.23205642,-0.611443822,1025,64
45297,47.78082034,2.373307,1025,45
12044,43.81836032,2.885231527,1025,12
29016,48.31924505,-3.950109333,1025,29
68246,47.98612333,7.556752144,1025,68
10368,48.40577716,3.935288338,1025,10
33083,44.82558153,-0.368684633,1025,33
31374,43.40732865,1.627632499,1025,31
60138,49.22582104,2.619187649,1025,60
52104,48.67475343,4.980013064,1024,52
57677,49.25383351,6.242714934,1024,57
80692,50.17963007,1.770677165,1024,80
42331,45.98250184,3.936408319,1024,42
73188,45.61332975,6.356325859,1024,73
77106,48.82188183,3.180997658,1024,77
13111,43.5590116,5.613241037,1024,13
78609,49.0250431,1.918352801,1024,78
51165,48.73833486,3.911962815,1023,51
89337,47.73973378,3.656901055,1023,89
18075,47.02217381,3.037450971,1023,18
62373,50.53195689,2.76031459,1023,62
81011,43.72873448,1.831823967,1023,81
35064,47.69729599,-1.934164646,1023,35
25413,46.68208883,6.205641435,1022,25
61389,48.70783956,0.444533266,1022,61
35166,48.14689016,-1.352607221,1022,35
17045,45.86128373,-0.84515151,1022,17
33336,44.3873,-0.3676561,1022,33
26273,44.97505038,5.166195422,1022,26
34294,43.71428105,4.117143448,1022,34
54584,48.72811878,5.963513751,1021,54
17303,46.29970858,-0.786738516,1021,17
4008,43.96200097,6.663958116,1021,4
10261,47.98452032,4.506793752,1021,10
33264,45.07302209,-0.253636035,1021,33
28363,48.41538575,1.882006243,1021,28
1236,46.34091177,5.064342948,1021,1
57645,49.19709008,6.137701547,1021,57
26210,45.22643024,5.142896309,1021,26
91130,48.41673249,2.051588217,1020,91
89411,48.16348029,3.439290361,1020,89
25564,47.1724803,5.880413021,1020,25
76560,49.41894606,1.204557135,1020,76
33298,44.85755032,-0.220590517,1020,33
53021,48.27143813,-0.583893693,1020,53
51461,49.16343018,4.045813323,1020,51
46229,44.92139439,1.787241501,1020,46
74108,45.82045167,6.195243579,1020,74
7058,44.56606363,4.30216797,1019,7
57511,49.17956287,6.110992492,1019,57
2003,49.34719635,3.418176098,1019,2
67412,48.33213608,7.613053998,1019,67
17216,45.94285079,-0.822245809,1019,17
14724,49.26315411,-0.14592358,1019,14
2668,49.82760687,3.704909269,1018,2
74147,45.77326073,6.195557686,1018,74
35194,48.15109513,-1.242383236,1018,35
31270,43.12951555,0.777804004,1018,31
56009,47.31301411,-3.192004661,1018,56
1323,46.42855691,4.912850563,1018,1
10080,48.05481037,4.140074168,1017,10
18052,46.74275373,2.652939942,1017,18
1264,46.18672003,5.117060118,1017,1
74253,46.0419014,6.322973518,1017,74
